연도,시도,시군구,국비지원액_최종_원,log_국비지원액_최종_원,산림면적당_국비지원액_최종(원per ha),log_국비지원액_최종_per_ha,log_국비지원액_직접방제_원,log_국비지원액_예찰진단_원,예찰진단_예산비중,국비비율_최종(%),국비비율_결측_flag,매칭사업수_최종,매칭사업_없음_flag,index_eligible
2020,경상남도,거제시,1107560263.0,20.825425472850107,41139.1,10.624738593928347,20.69242951093877,18.74222787466395,0.1245313727908636,67.37,0,3.0,0.0,1
2021,경상남도,거제시,1083122680.0,20.803114077404732,40295.2,10.60401245068496,20.665751845661,18.75008521264109,0.1283455720823794,61.83,0,4.0,0.0,1
2022,경상남도,거제시,958562400.0,20.680945221095616,35717.7,10.48342964015122,20.52208972611676,18.76280839424644,0.1468803700207727,66.1,0,4.0,0.0,1
2023,경상남도,거제시,1345924000.0,21.02034660372196,50230.8,10.824403571260298,20.881260548436483,18.97894705604042,0.1298468561374936,67.08,0,3.0,0.0,1
2016,경상남도,거창군,,,,,,,,,1,,,0
2017,경상남도,거창군,,,,,,,,,1,,,0
2018,경상남도,거창군,,,,,,,,,1,,,0
2019,경상남도,거창군,,,,,,,,,1,,,0
2020,경상남도,거창군,,,,,,,,,1,,,0
2021,경상남도,거창군,,,,,,,,,1,,,0
2022,경상남도,거창군,,,,,,,,,1,,,0
2023,경상남도,거창군,,,,,,,,,1,,,0
2016,경상남도,고성군,,,,,,,,,1,,,0
2017,경상남도,고성군,,,,,,,,,1,,,0
2018,경상남도,고성군,,,,,,,,,1,,,0
2019,경상남도,고성군,,,,,,,,,1,,,0
2020,경상남도,고성군,,,,,,,,,1,,,0
2021,경상남도,고성군,,,,,,,,,1,,,0
2022,경상남도,고성군,,,,,,,,,1,,,0
2023,경상남도,고성군,,,,,,,,,1,,,0
2016,경상남도,김해시,2252549000.0,21.53532830126121,108264.9,11.592345517295689,21.53532830126121,0.0,0.0,55.41,0,2.0,0.0,1
2017,경상남도,김해시,1891116960.0,21.36043347611139,91138.6,11.420147675955928,21.36043347611139,0.0,0.0,65.88,0,1.0,0.0,1
2018,경상남도,김해시,1930499100.0,21.381044407985993,93287.4,11.443451048987908,21.313782162377553,18.648445608530206,0.0650500173763354,62.36,0,3.0,0.0,1
2019,경상남도,김해시,1976097850.0,21.404389954782868,95748.6,11.469491729488476,21.33435599341733,18.710802345831027,0.0676378449579306,60.83,0,4.0,0.0,1
2020,경상남도,김해시,1302329450.0,20.987420383287155,63272.4,11.055220298645573,20.87547473358951,18.74222787466395,0.1059071496847437,62.46,0,5.0,0.0,1
2021,경상남도,김해시,906559370.0,20.625167080774556,44162.9,10.69566299226881,20.45870815098783,18.75008521264109,0.1533424115400186,60.31,0,6.0,0.0,1
